antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Garlic Bread, Wireless Mouse",Pasta,0.028297,0.108627,0.013036,0.4606848782556455,4.240979482593144,1.0,0.009962181781,1.6527869589804076,0.7864598692339191,0.1052240733565801,0.3949613441910912,0.2903459373372918
Pasta,"Garlic Bread, Wireless Mouse",0.108627,0.028297,0.013036,0.1200069964189382,4.240979482593144,1.0,0.009962181781,1.1042167335941668,0.8573351608296492,0.1052240733565801,0.0943806867107935,0.2903459373372918
Laptop,Wireless Mouse,0.108038,0.18271,0.083654,0.7743016346100448,4.237872227081412,1.0,0.06391437702,3.621160474901577,0.8565751983557732,0.403942171187963,0.723845433824034,0.6160764371397331
Wireless Mouse,Laptop,0.18271,0.108038,0.083654,0.4578512396694215,4.237872227081411,1.0,0.06391437702,1.6452347865853658,0.934836504882982,0.403942171187963,0.3921840164372713,0.6160764371397331
Wet Wipes,Diapers,0.182792,0.108594,0.084108,0.4601295461508162,4.237154411393044,1.0,0.064257885552,1.6511479627092536,0.9348813911047028,0.4057738882081069,0.3943607583422325,0.6173237376590868
Diapers,Wet Wipes,0.108594,0.182792,0.084108,0.7745179291673574,4.237154411393044,1.0,0.064257885552,3.624270421955404,0.8570646280840514,0.4057738882081069,0.7240823990555126,0.6173237376590868
DSLR Camera,SD Card,0.108524,0.182546,0.083891,0.7730179499465556,4.234647431039604,1.0,0.0640803778959999,3.601403722486096,0.8568406009841132,0.4049203828573359,0.7223304919256076,0.6162894138763488
SD Card,DSLR Camera,0.182546,0.108524,0.083891,0.4595608778061419,4.234647431039604,1.0,0.0640803778959999,1.6495400932137243,0.9344291319180202,0.4049203828573359,0.3937704187282012,0.6162894138763488
Notebooks (Set of 5),Blue Pens,0.108758,0.18269,0.084071,0.7730098015778151,4.2312649930363735,1.0,0.06420200098,3.600640052659296,0.8568537586007035,0.4054017562217604,0.7222716002224554,0.6165968598452325
Blue Pens,Notebooks (Set of 5),0.18269,0.108758,0.084071,0.4601839181126499,4.2312649930363735,1.0,0.06420200098,1.651010464312151,0.9343627968858916,0.4054017562217604,0.3943103198824224,0.6165968598452325
Garlic Bread,Pasta,0.182775,0.108627,0.083931,0.4592039392695938,4.227346233161128,1.0,0.064076700075,1.6482608967160377,0.9341918976410432,0.4045432855676215,0.3932999308590161,0.6159285735178095
Pasta,Garlic Bread,0.108627,0.182775,0.083931,0.7726532077660251,4.227346233161128,1.0,0.064076700075,3.5946185647473285,0.8564820490969568,0.4045432855676215,0.7218063663813822,0.6159285735178095
"Garlic Bread, DSLR Camera",SD Card,0.016734,0.182546,0.012909,0.7714234492649696,4.22591264264881,1.0,0.009854275236,3.576281107450982,0.7763562709129865,0.0692650680631643,0.7203799226194619,0.4210699357135274
SD Card,"Garlic Bread, DSLR Camera",0.182546,0.016734,0.012909,0.0707164221620851,4.225912642648809,1.0,0.009854275236,1.058090364932179,0.9338320261146544,0.0692650680631643,0.0549011378020649,0.4210699357135274
Wireless Mouse,"Wet Wipes, Laptop",0.18271,0.016596,0.012811,0.0701165781840074,4.224908302241952,1.0,0.0097787448399999,1.05755622363875,0.9339505835217924,0.0686935306576583,0.0544237954940262,0.4210247870433172
"Wet Wipes, Laptop",Wireless Mouse,0.016596,0.18271,0.012811,0.7719329959026271,4.224908302241952,1.0,0.0097787448399999,3.5835521373844115,0.7761901236994415,0.0686935306576583,0.7209472719629839,0.4210247870433172
"Large Fries, Diapers",Wet Wipes,0.016796,0.182792,0.012955,0.7713145987139796,4.219629954888505,1.0,0.009884825568,3.573503141890133,0.7760468776448425,0.0694143050800233,0.7201625519010821,0.4210937517181434
Wet Wipes,"Large Fries, Diapers",0.182792,0.016796,0.012955,0.0708729047223073,4.219629954888505,1.0,0.009884825568,1.0582018380447131,0.933681993186459,0.0694143050800233,0.055000696419367,0.4210937517181434
"Large Fries, Notebooks (Set of 5)",Blue Pens,0.016723,0.18269,0.012891,0.7708545117502841,4.2194674681169415,1.0,0.00983587513,3.5667732593945725,0.7759799814005541,0.0691124907517612,0.7196345471733908,0.4207083331098018
Blue Pens,"Large Fries, Notebooks (Set of 5)",0.18269,0.016723,0.012891,0.0705621544693196,4.2194674681169415,1.0,0.00983587513,1.0579265786606515,0.9335543039625024,0.0691124907517612,0.0547548193126856,0.4207083331098018
"Garlic Bread, Diapers",Wet Wipes,0.016694,0.182792,0.012866,0.7706960584641188,4.216246107401411,1.0,0.009814470352,3.563863728317658,0.7757729479028767,0.0689422355588897,0.7194056573896963,0.420541035490539
Wet Wipes,"Garlic Bread, Diapers",0.182792,0.016694,0.012866,0.0703860125169591,4.216246107401411,1.0,0.009814470352,1.0577573199628074,0.9334492495308244,0.0689422355588897,0.0546035644214101,0.420541035490539
