antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Garlic Bread, Wireless Mouse",Pasta,0.028297,0.108627,0.013036,0.4606848782556455,4.240979482593144,1.0,0.009962181781000001,1.6527869589804076,0.7864598692339191,0.10522407335658016,0.3949613441910912,0.29034593733729186
Pasta,"Garlic Bread, Wireless Mouse",0.108627,0.028297,0.013036,0.12000699641893821,4.240979482593144,1.0,0.009962181781000001,1.1042167335941668,0.8573351608296492,0.10522407335658016,0.09438068671079353,0.29034593733729186
Laptop,Wireless Mouse,0.108038,0.18271,0.083654,0.7743016346100448,4.237872227081412,1.0,0.06391437702000001,3.621160474901577,0.8565751983557732,0.403942171187963,0.723845433824034,0.6160764371397331
Wireless Mouse,Laptop,0.18271,0.108038,0.083654,0.4578512396694215,4.237872227081411,1.0,0.06391437702000001,1.6452347865853658,0.9348365048829821,0.403942171187963,0.39218401643727135,0.6160764371397331
Diapers,Wet Wipes,0.108594,0.182792,0.084108,0.7745179291673574,4.237154411393044,1.0,0.064257885552,3.624270421955404,0.8570646280840514,0.40577388820810695,0.7240823990555126,0.6173237376590868
Wet Wipes,Diapers,0.182792,0.108594,0.084108,0.4601295461508162,4.2371544113930435,1.0,0.064257885552,1.6511479627092536,0.9348813911047027,0.40577388820810695,0.39436075834223255,0.6173237376590868
SD Card,DSLR Camera,0.182546,0.108524,0.083891,0.45956087780614197,4.234647431039604,1.0,0.06408037789599999,1.6495400932137245,0.9344291319180202,0.4049203828573359,0.39377041872820123,0.6162894138763488
DSLR Camera,SD Card,0.108524,0.182546,0.083891,0.7730179499465556,4.234647431039604,1.0,0.06408037789599999,3.6014037224860957,0.8568406009841132,0.4049203828573359,0.7223304919256076,0.6162894138763488
Blue Pens,Notebooks (Set of 5),0.18269,0.108758,0.084071,0.4601839181126499,4.2312649930363735,1.0,0.06420200098,1.651010464312151,0.9343627968858917,0.40540175622176045,0.3943103198824224,0.6165968598452325
Notebooks (Set of 5),Blue Pens,0.108758,0.18269,0.084071,0.7730098015778151,4.2312649930363735,1.0,0.06420200098,3.600640052659296,0.8568537586007035,0.40540175622176045,0.7222716002224554,0.6165968598452325
Pasta,Garlic Bread,0.108627,0.182775,0.083931,0.7726532077660251,4.227346233161128,1.0,0.064076700075,3.5946185647473285,0.8564820490969568,0.40454328556762154,0.7218063663813822,0.6159285735178095
Garlic Bread,Pasta,0.182775,0.108627,0.083931,0.4592039392695938,4.227346233161128,1.0,0.064076700075,1.6482608967160375,0.9341918976410433,0.40454328556762154,0.3932999308590161,0.6159285735178095
"Garlic Bread, DSLR Camera",SD Card,0.016734,0.182546,0.012909,0.7714234492649696,4.22591264264881,1.0,0.009854275236,3.576281107450982,0.7763562709129865,0.06926506806316433,0.7203799226194619,0.4210699357135274
SD Card,"Garlic Bread, DSLR Camera",0.182546,0.016734,0.012909,0.07071642216208517,4.225912642648809,1.0,0.009854275236,1.0580903649321787,0.9338320261146543,0.06926506806316433,0.054901137802064924,0.4210699357135274
"Wet Wipes, Laptop",Wireless Mouse,0.016596,0.18271,0.012811,0.7719329959026271,4.224908302241952,1.0,0.009778744839999999,3.5835521373844115,0.7761901236994415,0.06869353065765837,0.7209472719629839,0.42102478704331725
Wireless Mouse,"Wet Wipes, Laptop",0.18271,0.016596,0.012811,0.07011657818400743,4.224908302241952,1.0,0.009778744839999999,1.05755622363875,0.9339505835217923,0.06869353065765837,0.054423795494026296,0.42102478704331725
"Large Fries, Diapers",Wet Wipes,0.016796,0.182792,0.012955,0.7713145987139796,4.219629954888505,1.0,0.009884825568,3.573503141890133,0.7760468776448425,0.06941430508002334,0.7201625519010821,0.42109375171814345
Wet Wipes,"Large Fries, Diapers",0.182792,0.016796,0.012955,0.07087290472230731,4.219629954888505,1.0,0.009884825568,1.0582018380447133,0.933681993186459,0.06941430508002334,0.055000696419367,0.42109375171814345
"Large Fries, Notebooks (Set of 5)",Blue Pens,0.016723,0.18269,0.012891,0.7708545117502841,4.2194674681169415,1.0,0.009835875130000001,3.5667732593945725,0.7759799814005541,0.0691124907517612,0.7196345471733908,0.4207083331098018
Blue Pens,"Large Fries, Notebooks (Set of 5)",0.18269,0.016723,0.012891,0.07056215446931961,4.2194674681169415,1.0,0.009835875130000001,1.0579265786606515,0.9335543039625023,0.0691124907517612,0.05475481931268566,0.4207083331098018
"Garlic Bread, Diapers",Wet Wipes,0.016694,0.182792,0.012866,0.7706960584641188,4.216246107401411,1.0,0.009814470352,3.5638637283176586,0.7757729479028767,0.06894223555888972,0.7194056573896963,0.420541035490539
Wet Wipes,"Garlic Bread, Diapers",0.182792,0.016694,0.012866,0.07038601251695917,4.216246107401411,1.0,0.009814470352,1.0577573199628074,0.9334492495308245,0.06894223555888972,0.054603564421410185,0.420541035490539
Garlic Bread,"Wireless Mouse, Pasta",0.182775,0.016918,0.013036,0.07132266447818357,4.215785818547321,1.0,0.00994381255,1.058582957069383,0.9333981445884072,0.06983933096535357,0.05534092219996253,0.42093145873158505
"Wireless Mouse, Pasta",Garlic Bread,0.016918,0.182775,0.013036,0.7705402529849865,4.215785818547321,1.0,0.00994381255,3.5615179160226704,0.7759233702898244,0.06983933096535357,0.7192208424668683,0.42093145873158505
Burger,Large Fries,0.109005,0.182826,0.084006,0.7706618962432915,4.21527515913104,1.0,0.06407705187,3.5631846021840863,0.8560851213240195,0.40421508480692886,0.7193521774350278,0.6150739824821853
Large Fries,Burger,0.182826,0.109005,0.084006,0.45948606872107906,4.21527515913104,1.0,0.06407705187,1.6484218970856104,0.9334212330227034,0.40421508480692886,0.3933591868877817,0.6150739824821853
"Notebooks (Set of 5), Wireless Mouse",Blue Pens,0.016776,0.18269,0.012919,0.7700882212684788,4.215272983023038,1.0,0.00985419256,3.5548852890847806,0.7757819583374188,0.06925332489935514,0.7186969708782209,0.4204018204158366
Blue Pens,"Notebooks (Set of 5), Wireless Mouse",0.18269,0.016776,0.012919,0.07071541956319448,4.215272983023038,1.0,0.00985419256,1.0580440273073728,0.9332657623231703,0.06925332489935514,0.05485974667338722,0.4204018204158366
Wet Wipes,"SD Card, Diapers",0.182792,0.016689,0.012857,0.0703367762265307,4.214559064445486,1.0,0.009806384312,1.0577066779180275,0.9333330737945483,0.06889253257887516,0.054558299690058085,0.42036222836732495
