antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Diapers,"Wireless Mouse, Wet Wipes",0.0991,0.02305,0.01185,0.11957618567103935,5.187687013927954,1.0,0.009565745,1.109636045845272,0.8960327061592885,0.10743427017225748,0.09880360885515058,0.3168379843756498
"Wireless Mouse, Wet Wipes",Diapers,0.02305,0.0991,0.01185,0.5140997830802603,5.187687013927954,1.0,0.009565745,1.854084375,0.826281657176829,0.10743427017225748,0.4606502198693088,0.3168379843756498
"Wet Wipes, Blue Pens",Diapers,0.0197,0.0991,0.01,0.5076142131979696,5.12224231279485,1.0,0.008047730000000001,1.8296628865979385,0.8209456288891158,0.09191176470588236,0.4534512301009764,0.30426119338001406
Diapers,"Wet Wipes, Blue Pens",0.0991,0.0197,0.01,0.10090817356205853,5.1222423127948495,1.0,0.008047730000000001,1.0903224466891133,0.8932989232989232,0.09191176470588236,0.08284012400495618,0.30426119338001406
Wet Wipes,"Almond Croissant, Diapers",0.1843,0.01115,0.0104,0.05642973412913728,5.060962702164779,1.0,0.008345055,1.0479876653248994,0.9837061844003736,0.05620102674952716,0.04579029592874276,0.4945825800690529
"Almond Croissant, Diapers",Wet Wipes,0.01115,0.1843,0.0104,0.9327354260089685,5.060962702164778,1.0,0.008345055,12.126739999999984,0.8114568788141626,0.05620102674952716,0.9175376069743393,0.4945825800690529
"Diapers, Lunch Box",Wet Wipes,0.0112,0.1843,0.01035,0.9241071428571429,5.014146190217813,1.0,0.00828584,10.748047058823536,0.8096321310757781,0.055900621118012424,0.9069598416784883,0.4901327900937912
Wet Wipes,"Diapers, Lunch Box",0.1843,0.0112,0.01035,0.0561584373304395,5.014146190217812,1.0,0.00828584,1.0476334578901982,0.9814444663573979,0.055900621118012424,0.04546767529372927,0.4901327900937912
Diapers,"Wet Wipes, Lunch Box",0.0991,0.0209,0.01035,0.10443995963673058,4.997127255345961,1.0,0.008278810000000001,1.093282366197183,0.887873264684859,0.09439124487004104,0.08532321482660667,0.2998276353207576
"Wet Wipes, Lunch Box",Diapers,0.0209,0.0991,0.01035,0.4952153110047847,4.997127255345961,1.0,0.008278810000000001,1.7847213270142184,0.8169594772286687,0.09439124487004104,0.43968843490374593,0.2998276353207576
Garlic Bread,"Large Fries, Pasta",0.16645,0.01205,0.01,0.0600781015319916,4.985734566970257,1.0,0.0079942775,1.0510979705976349,0.9590639433747226,0.059347181008902086,0.04861389901512384,0.4449768101020954
"Large Fries, Pasta",Garlic Bread,0.01205,0.16645,0.01,0.8298755186721992,4.985734566970257,1.0,0.0079942775,4.899647560975612,0.8091783491067362,0.059347181008902086,0.7959036874479026,0.4449768101020954
